DevOps Capability Assessment - Full Test,,,,,
,,,,,
Recommendations for your improvement,,,,,
Your overall results,Moderate,'61/164',,,
Infrastructure as a Flexible Resource,Implement a Key Vault Solution to Secure Secrets,https://learn.microsoft.com/azure/key-vault/,High,Secrets Management,,93,Implement a Key Vault Solution to Secure Secrets,N,
Infrastructure as a Flexible Resource,Use environments for dev and test stages that simulate the production environment,https://learn.microsoft.com/azure/architecture/solution-ideas/articles/dev-test-paas,High,Repeatable Infrastructure,,90,Use environments for dev and test stages that simulate the production environment,N,
Infrastructure as a Flexible Resource,Implement source control for Infrastructure as Code (IaC) scripts,https://learn.microsoft.com/devops/develop/git/what-is-version-control,High,Repeatable Infrastructure,,90,Implement source control for Infrastructure as Code (IaC) scripts,N,
Infrastructure as a Flexible Resource,Use deployment strategies to deploy your workloads,https://learn.microsoft.com/azure/architecture/framework/devops/deployment#stage-your-workloads,High,Repeatable Infrastructure,,88,Use deployment strategies to deploy your workloads,N,
Infrastructure as a Flexible Resource,Prefer declarative definitions,https://learn.microsoft.com/devops/deliver/what-is-infrastructure-as-code#prefer-declarative-definitions,High,Repeatable Infrastructure,,80,Prefer declarative definitions,N,
Continuous Security,Make sure that all regulatory requirements are known and well understood,https://learn.microsoft.com/azure/architecture/framework/security/design-regulatory-compliance#gather-regulatory-requirements,High,"Regulatory, Governance & Compliance","Regulatory, Governance & Compliance",90,Make sure that all regulatory requirements are known and well understood,N,
Continuous Security,Integrate the scanning tools within a CI / CD pipeline,"https://learn.microsoft.com/azure/security/develop/security-code-analysis-overview#:~:text=%20Microsoft%20Security%20Code%20Analysis%20tool%20set%20,in%20source%20code%20are%20a%20significant...%20More",High,Configuration & Security Management,Application Design,90,Integrate the scanning tools within a CI / CD pipeline,N,
Continuous Security,Drive Secure Code thru Testing,https://learn.microsoft.com/azure/devops/learn/devops-at-microsoft/security-in-devops,High,Continuous Deployment & Testing,Application Design,90,Drive Secure Code thru Testing,N,
Continuous Security,Implement defenses that detect and prevent commodity attacks,https://learn.microsoft.com/azure/architecture/framework/security/resilience#increasing-attacker-cost,High,Configuration & Security Management,Application Design,85,Implement defenses that detect and prevent commodity attacks,N,
Configuration Management,Make sure that configuration settings can be changed or modified without rebuilding or redeploying the application,https://learn.microsoft.com/azure/architecture/framework/security/design-app-dependencies#config-change,High,Operational Procedures,Configuration & Secrets Management,92,Make sure that configuration settings can be changed or modified without rebuilding or redeploying the application,N,
Configuration Management,"Define standards, policies and best practices as code",https://learn.microsoft.com/azure/governance/policy/concepts/definition-structure,High,"Regulatory, Governance & Compliance",,90,"Define standards, policies and best practices as code",N,
Configuration Management,Effectively Communicating Change,https://learn.microsoft.com/azure/cloud-adoption-framework/govern/deployment-acceleration/template,High,"Regulatory, Governance & Compliance",,88,Effectively Communicating Change,N,
Culture,Drive a Align Autonomy Team,https://learn.microsoft.com/devops/plan/scaling-agile#line-of-autonomy,High,Operational Model & DevOps,Line of Autonomy,93,Drive a Align Autonomy Team,N,
Culture,Adopt an Agile culture,https://learn.microsoft.com/devops/plan/adopting-agile,High,Operational Model & DevOps,Adopting Agile Process,92,Adopt an Agile culture,N,
Culture,Build a healthy culture on trust and respect,https://docs.microsoft.com/en-us/azure/devops/learn/what-is-devops-culture,High,Operational Model & DevOps,Driving DevOps Culture,90,Build a healthy culture on trust and respect,N,
Culture,Focus on continuous improvement with your team,https://docs.microsoft.com/en-us/learn/modules/characterize-devops-continous-collaboration-improvement/3-explore-continuous-improvement,High,Operational Model & DevOps,Collaboration & Improvement,85,Focus on continuous improvement with your team,N,
Culture,Co-Locate where possible,https://learn.microsoft.com/devops/plan/adopting-agile#co-locate-teams-whenever-possible,High,Operational Model & DevOps,Adopting Agile Process,80,Co-Locate where possible,N,
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Agile Software Development,"Describe how your team plans, prioritizes, and schedule work?",By feature completion against requirement specification,,,
Agile Software Development,"Describe how your team plans, prioritizes, and schedule work?",In time-boxes such as sprints/iterations in 1-4 weeks,,,
Agile Software Development,"Describe how your team plans, prioritizes, and schedule work?","We strive for a one-piece flow of product backlog items, stack-ranked, and delivered continuously",,,
Agile Software Development,"Describe how your team plans, prioritizes, and schedule work?",We create measurable experiments from hypotheses and use production data to assess results,We create measurable experiments from hypotheses and use production data to assess results,,
Agile Software Development,"Describe how your team plans, prioritizes, and schedule work?",None of the above,,,
Agile Software Development,Describe the methodology is used to estimate work?,T-shirt sizing,T-shirt sizing,,
Agile Software Development,Describe the methodology is used to estimate work?,Planning poker,Planning poker,,
Agile Software Development,Describe the methodology is used to estimate work?,Dot voting,Dot voting,,
Agile Software Development,Describe the methodology is used to estimate work?,Story points,,,
Agile Software Development,Describe the methodology is used to estimate work?,Story Counting,,,
Agile Software Development,Describe the methodology is used to estimate work?,None of the above,,,
Agile Software Development,Describe how many sprints worth of work have you got on your backlog/todo list?,A couple of sprints,,,
Agile Software Development,Describe how many sprints worth of work have you got on your backlog/todo list?,About three Months,About three Months,,
Agile Software Development,Describe how many sprints worth of work have you got on your backlog/todo list?,About six Months,,,
Agile Software Development,Describe how many sprints worth of work have you got on your backlog/todo list?,About a year's worth of work,,,
Agile Software Development,Describe how many sprints worth of work have you got on your backlog/todo list?,More than a year worth of work,,,
Agile Software Development,Describe how many products your team working on at one time?,We work dedicated on one product,We work dedicated on one product,,
Agile Software Development,Describe how many products your team working on at one time?,We have a couple of things we work on,,,
Agile Software Development,Describe how many products your team working on at one time?,We have dozens of products we work on,,,
Agile Software Development,Describe how many products your team working on at one time?,Too many to count,,,
Agile Software Development,Describe how members of the team collaborate?,"We have daily stand-up meetings and/or also collaborate via work items, ChatOps, and other mechanisms.",,,
Agile Software Development,Describe how members of the team collaborate?,We communicate via email as and when necessary,We communicate via email as and when necessary,,
Agile Software Development,Describe how members of the team collaborate?,We prefer weekly calls to keep ourselves updated about our project,,,
Agile Software Development,Describe how members of the team collaborate?,Our teams work in silos and we only communicate when there are issues,,,
Agile Software Development,Describe how members of the team collaborate?,None of the above,,,
Agile Software Development,Describe how your team gathers and measures feedback from customers and users?,"Manual testing, user acceptance testing or general acceptance criteria",,,
Agile Software Development,Describe how your team gathers and measures feedback from customers and users?,"Direct email/phone/web contact form, web meetings, or chat ","Direct email/phone/web contact form, web meetings, or chat ",,
Agile Software Development,Describe how your team gathers and measures feedback from customers and users?,In-product qualitative feedback (e.g. Send-a-Smile) and survey such as Net Promoter Score (NPS),In-product qualitative feedback (e.g. Send-a-Smile) and survey such as Net Promoter Score (NPS),,
Agile Software Development,Describe how your team gathers and measures feedback from customers and users?,We continuously engage with our stakeholders. We capture and respond to feedback while also turning and implementing new ideas into functionalities within our applications.,We continuously engage with our stakeholders. We capture and respond to feedback while also turning and implementing new ideas into functionalities within our applications.,,
Agile Software Development,Describe how your team gathers and measures feedback from customers and users?,None of the above,,,
Agile Software Development,Describe how is work coordinated (split up) across teams?,We have a project management office that takes care of that,,,
Agile Software Development,Describe how is work coordinated (split up) across teams?,We have a scrum of scrums,,,
Agile Software Development,Describe how is work coordinated (split up) across teams?,We give demo's to other teams that work on things that connect to our system,,,
Agile Software Development,Describe how is work coordinated (split up) across teams?,"We have a portfolio board ","We have a portfolio board ",,
Agile Software Development,Describe how is work coordinated (split up) across teams?,We have an open office space so everyone is in the loop,,,
Agile Software Development,Describe how is work coordinated (split up) across teams?,We share our backlog on regular basis with other teams to keep them posted,,,
Agile Software Development,"Describe how your team collaborates, share risks, innovates, and learn?",We keep to ourselves to avoid being blamed for failure.  Risk-taking is discouraged,,,
Agile Software Development,"Describe how your team collaborates, share risks, innovates, and learn?","There is some communication. When mistakes are made, there is justice for the responsible person",,,
Agile Software Development,"Describe how your team collaborates, share risks, innovates, and learn?",Communication and collaboration is good among teams. Innovation is encouraged.,,,
Agile Software Development,"Describe how your team collaborates, share risks, innovates, and learn?",There is high cooperation among teams. Risks are shared. Failure leads to learning and inquiry to help the team improve. Innovation is encouraged and implemented,There is high cooperation among teams. Risks are shared. Failure leads to learning and inquiry to help the team improve. Innovation is encouraged and implemented,,
Agile Software Development,"Describe how your team collaborates, share risks, innovates, and learn?",None of the above,,,
Agile Software Development,Describe how your team handles risk with a project?,Prepare a clearly detailed scope of the project,Prepare a clearly detailed scope of the project,,
Agile Software Development,Describe how your team handles risk with a project?,Define requirement specifications and acceptance criteria,Define requirement specifications and acceptance criteria,,
Agile Software Development,Describe how your team handles risk with a project?,Get the stakeholders to sign off on this scope agreement,Get the stakeholders to sign off on this scope agreement,,
Agile Software Development,Describe how your team handles risk with a project?,Determine what requirements need to be involved in the phase you are working on vs. future phases or versions,Determine what requirements need to be involved in the phase you are working on vs. future phases or versions,,
Agile Software Development,Describe how your team handles risk with a project?,Develop and implement a change control process that the stakeholders are aware of and agree to,,,
Agile Software Development,Describe how your team handles risk with a project?,Monitor the project progress against the scope,,,
Agile Software Development,Describe how your team handles risk with a project?,None of the above,,,
Agile Software Development,Describe how your team regularly comes together to share and evaluate new ideas?,"We write them down, then follow up every couple of sprints to see what's there and decide what we will pursue",,,
Agile Software Development,Describe how your team regularly comes together to share and evaluate new ideas?,We try to accommodate some time in the next sprint to look into some of the ideas that have come up,,,
Agile Software Development,Describe how your team regularly comes together to share and evaluate new ideas?,We can discuss with the team and in case of good ideas can follow up immediately. This is why we have slack time in our schedule,We can discuss with the team and in case of good ideas can follow up immediately. This is why we have slack time in our schedule,,
Agile Software Development,Describe how your team regularly comes together to share and evaluate new ideas?,None of the above,,,
Version Control,Describe how your team manages code?,Use a common code repository (for example: Git based repo) for source files,Use a common code repository (for example: Git based repo) for source files,,
Version Control,Describe how your team manages code?,Use a common code repository (for example: Git based repo) for configuration files,Use a common code repository (for example: Git based repo) for configuration files,,
Version Control,Describe how your team manages code?,Have a defined branching structure,Have a defined branching structure,,
Version Control,Describe how your team manages code?,Have a defined branching policy that is enforced daily,,,
Version Control,Describe how your team manages code?,Manage branch and repository permissions,,,
Version Control,Describe how your team manages code?,Enforce check-in comments and workflows for code commits,,,
Version Control,Describe how your team manages code?,None of the above,,,
Version Control,Describe what files do you keep under source control?,Application source code,,,
Version Control,Describe what files do you keep under source control?,Application source code and tests,,,
Version Control,Describe what files do you keep under source control?,"Application source code, tests and configuration files",,,
Version Control,Describe what files do you keep under source control?,"All files used to build, test, configure, deploy, run and document our service","All files used to build, test, configure, deploy, run and document our service",,
Version Control,Describe what files do you keep under source control?,None of the above / Source control not used,,,
Version Control,Describe how your team merges changes into a shared branch?,Use Pull Requests to pull code changes back into the parent branch,,,
Version Control,Describe how your team merges changes into a shared branch?,Directly merge changes into the parent branch without a pull request,,,
Version Control,Describe how your team merges changes into a shared branch?,Directly change source code in the shared branch,Directly change source code in the shared branch,,
Version Control,Describe how your team merges changes into a shared branch?,None of the above,,,
Version Control,Describe the branch strategy in place to control pull/push requests?,"We keep new work in separate branches and merge it only when finished, usually within weeks or months",,,
Version Control,Describe the branch strategy in place to control pull/push requests?,We have no branches and develop only in the trunk or master,We have no branches and develop only in the trunk or master,,
Version Control,Describe the branch strategy in place to control pull/push requests?,We use branches that live for a few days at most and commit all changes to the master or trunk at least daily,,,
Version Control,Describe the branch strategy in place to control pull/push requests?,We maintain traceability on code changes but treat branches as temporary by using topic branches that we squash-merge to master when the work is complete,,,
Version Control,Describe the branch strategy in place to control pull/push requests?,None of the above,,,
Version Control,Describe how the team monitors and reviews code changes?,"We do not have a policy; however, some code changes may undergo review, and at times, the reviewer may also be the requestor",,,
Version Control,Describe how the team monitors and reviews code changes?,We review code changes through live peer reviews or pair programming,,,
Version Control,Describe how the team monitors and reviews code changes?,"Some code is reviewed, and we capture the review history using a pull request workflow or its equivalent","Some code is reviewed, and we capture the review history using a pull request workflow or its equivalent",,
Version Control,Describe how the team monitors and reviews code changes?,"We ensure that all code changes are peer-reviewed before being committed to the master or trunk through a pull request workflow, branch policies, or their equivalent, and we enforce branch policies",,,
Version Control,Describe how the team monitors and reviews code changes?,None of the above,,,
Version Control,Describe how your team deals with cross-team code dependencies?,We track them in a spreadsheet or document,,,
Version Control,Describe how your team deals with cross-team code dependencies?,We use a work item tracking system,We use a work item tracking system,,
Version Control,Describe how your team deals with cross-team code dependencies?,"The dependencies are published as packages to a repository, so we can track the dependencies in our code. We publish our own artifacts as well so other teams that depend on us can see the new artifacts.","The dependencies are published as packages to a repository, so we can track the dependencies in our code. We publish our own artifacts as well so other teams that depend on us can see the new artifacts.",,
Version Control,Describe how your team deals with cross-team code dependencies?,We have full access to the source code of other teams and can build our own version of the dependencies if necessary (inner source),We have full access to the source code of other teams and can build our own version of the dependencies if necessary (inner source),,
Version Control,Describe how your team deals with cross-team code dependencies?,"We have a full open-source model, so anyone can contribute and use our code as well as we can use other team's code","We have a full open-source model, so anyone can contribute and use our code as well as we can use other team's code",,
Version Control,Describe how your team deals with cross-team code dependencies?,We use an ad-hoc or manual process for communicating dependencies.,,,
Version Control,Describe how your team deals with cross-team code dependencies?,None of the above,,,
Version Control,Describe how your team performs static code analysis?,"Static code analysis is performed early in development, before software testing begins.",,,
Version Control,Describe how your team performs static code analysis?,"Static code analysis is performed later in development, after software testing begins.",,,
Version Control,Describe how your team performs static code analysis?,"Static code analysis is performed after development, before deployment begins.","Static code analysis is performed after development, before deployment begins.",,
Version Control,Describe how your team performs static code analysis?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team gets notified about the build status and failures?,Receive a notification from the build system,Receive a notification from the build system,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team gets notified about the build status and failures?,Receive alerts through IT service management tools,Receive alerts through IT service management tools,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team gets notified about the build status and failures?,Receive alerts from DevOps build system directly,Receive alerts from DevOps build system directly,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team gets notified about the build status and failures?," Teams review the status manually on a regular basis"," Teams review the status manually on a regular basis",,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team gets notified about the build status and failures?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We do this when we have time,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We plan to do this once every quarter,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We use stabilization sprints to perform this kind of work,We use stabilization sprints to perform this kind of work,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We continually do this,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We do this on a set weekly interval,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how frequently your team refactors code or addresses technical debt?,We do not refactor code in our team / A separate team handles it,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,Use environments for development and testing stages that simulate the production environment,Use environments for development and testing stages that simulate the production environment,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,Manage and actively resolve any technical debt in your environments,Manage and actively resolve any technical debt in your environments,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,There is a systematic approach to the development and release process,There is a systematic approach to the development and release process,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,The application can be deployed automatically from scratch without any manual operations,The application can be deployed automatically from scratch without any manual operations,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,There is a documented process for any portions of the deployment that require manual intervention,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,"N-1 or N+1 versions can be deployed via automated pipelines, where N is the current deployment version in production",,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,The application deployment process leverages blue-green deployments and/or canary release,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,Releases to production are gated by having it successfully deployed and tested in other environments,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,Feature flags are used to test features before rolling them out to everyone,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team release/deployment process works?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,Blue/Green,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,Canary,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,A/B testing,A/B testing,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,Rolling,Rolling,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,Recreate,Recreate,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,Shadow,Shadow,,
Continuous Integration and Continuous Delivery (CI/CD),Describe what deployment strategy does your team use?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the approval process for production deployments?,The approval process is infrequent or manual,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the approval process for production deployments?,The decision from the program/project office serves as the approval for deployment,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the approval process for production deployments?,We hold meetings before the deployment that establish our approval,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the approval process for production deployments?,We utilize gates and team approvals to manage our deployment,We utilize gates and team approvals to manage our deployment,,
Continuous Integration and Continuous Delivery (CI/CD),Describe the approval process for production deployments?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team rolls out new features to users?,We deploy when the appropriate manager approves,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team rolls out new features to users?,We run a full test suite in a production-realistic environment and proceed with deployment after obtaining any necessary approvals,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team rolls out new features to users?,We use progressive deployment with feature flags or exposure control and monitor telemetry to determine whether to continue the rollout,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team rolls out new features to users?,All changes get deployed continuously but we use feature flags to control which users have access to new features in production,All changes get deployed continuously but we use feature flags to control which users have access to new features in production,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team rolls out new features to users?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,Developers and testers test new features and functionality,Developers and testers test new features and functionality,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,"Use for creative purposes, such as A/B testing","Use for creative purposes, such as A/B testing",,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,Using for progressive experimentation,Using for progressive experimentation,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,Beta Feedback and Feature Targeting,Beta Feedback and Feature Targeting,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,Hypothesis-Driven Development,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is using feature flags to test features before rolling them out to all users?,None of the above / Feature Flags not implemented,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe your team's standard for testing?,Testing that validates conformance to requirements and addresses identified bugs,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe your team's standard for testing?,Testing that is both fast and thorough enough to provide feedback in the continuous integration and continuous delivery flow,Testing that is both fast and thorough enough to provide feedback in the continuous integration and continuous delivery flow,,
Continuous Integration and Continuous Delivery (CI/CD),Describe your team's standard for testing?,"Testing that fosters continuous improvement in user satisfaction, quality of service, and performance on business objectives","Testing that fosters continuous improvement in user satisfaction, quality of service, and performance on business objectives",,
Continuous Integration and Continuous Delivery (CI/CD),Describe your team's standard for testing?,"Testing that covers the most used functionality, data, code paths, and configurations, with coverage measured against them","Testing that covers the most used functionality, data, code paths, and configurations, with coverage measured against them",,
Continuous Integration and Continuous Delivery (CI/CD),Describe your team's standard for testing?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team runs tests on a built code package?,Perform regular disaster recovery (DR) and business continuity drills,Perform regular disaster recovery (DR) and business continuity drills,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team runs tests on a built code package?,Automate testing for code and environment configuration deployments,Automate testing for code and environment configuration deployments,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team runs tests on a built code package?,We use manual testing when necessary.,We use manual testing when necessary.,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team runs tests on a built code package?,We create unit tests during development and run them as part of our build process.,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team runs tests on a built code package?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,"The application is tested for performance, scalability, and resiliency",,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,At least a subset of tests is also performed in the production environment,At least a subset of tests is also performed in the production environment,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,"Tests for performance, scalability, and resiliency are conducted as part of each major change","Tests for performance, scalability, and resiliency are conducted as part of each major change",,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Fault injection tests are being utilized,Fault injection tests are being utilized,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Smoke tests are performed during application deployments,Smoke tests are performed during application deployments,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Unit and integration testing is part of the application deployment process,Unit and integration testing is part of the application deployment process,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,All these tests are automated and performed periodically,All these tests are automated and performed periodically,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Failing tests at least temporarily block a deployment and lead to a deeper analysis of the issue,Failing tests at least temporarily block a deployment and lead to a deeper analysis of the issue,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Business Continuity 'fire drills' are executed to test regional failover scenarios,Business Continuity 'fire drills' are executed to test regional failover scenarios,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Regular security and penetration testing is performed,Regular security and penetration testing is performed,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Tests are regularly updated and validated to reflect any necessary changes,Tests are regularly updated and validated to reflect any necessary changes,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,Mocks and stubs are used to test external dependencies in non-production environments,Mocks and stubs are used to test external dependencies in non-production environments,,
Continuous Integration and Continuous Delivery (CI/CD),Describe how your team is testing and validating your applications?,None of the above,,,
Continuous Integration and Continuous Delivery (CI/CD)," Describe how your team uses tests in environments other than production?","We test all environments with unit, acceptance, functional, and integration tests","We test all environments with unit, acceptance, functional, and integration tests",,
